num_players,player_stack,blind,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result
6,47.48,0,Ks Ad,"received, received, raises",Qc 3s Qd,bets,6d,checks,Kc,"bets, mucks",11.07
9,40.0,0,4d 5h,"received, received, folds",,,,,,,0.0
5,80.0,0,3h 6c,"received, received, folds",Ac 3d 5c,,,,,,0.0
8,41.5,0,5d 6c,"received, received, folds",5c Kc Ad,,,,,,0.0
5,80.0,0,4d Ah,"received, received, folds",,,,,,,0.0
5,30.25,0,9d 2d,"received, received, folds",,,,,,,0.0
6,47.98,1,6s 3c,"received, received, folds",,,,,,,-0.5
9,40.0,0,Kc 5d,"received, received, folds",,,,,,,0.0
8,41.5,0,5d Jd,"received, received, folds",,,,,,,0.0
8,40.0,0,Kd Jc,"received, received, raises, mucks",,,,,,,1.5
6,48.98,2,6h 5c,"received, received, folds",,,,,,,-1.0
5,65.11,0,9h 2c,"received, received, folds",,,,,,,0.0
6,30.5,1,7c Qh,"received, received, folds",,,,,,,-0.25
9,40.0,0,4h 8s,"received, received, folds",,,,,,,0.0
5,65.11,0,6h 4c,"received, received, folds",Jc 3d 4h,,,,,,0.0
6,48.98,0,9c 5h,"received, received, folds",,,,,,,0.0
9,40.0,0,6h 4d,"received, received, folds",3c Ad Kh,,,,,,0.0
8,40.0,0,Ah 6s,"received, received, folds",5s 9d 6h,,4h,,,,0.0
5,65.61,1,4d 2h,"received, received, folds",,,,,,,-0.5
6,21.5,2,7s 10d,"received, received, checks",5d 7d Jd,checks,,bets,Ah,bets,9.0
6,80.0,0,Ah Qs,"received, received, folds",Kd 7c Qc,,5s,,3h,,0.0
6,47.48,0,Kc Qc,"received, received, raises, mucks",,,,,,,1.5
5,69.18,0,Kc Jd,"received, received, raises, mucks",,,,,,,1.5
8,40.0,0,9s Ad,"received, received, folds",,,,,,,0.0
8,40.0,1,7s Qd,"received, received, folds",,,,,,,-0.5
6,67.68,0,Ac Qh,"received, received, raises, mucks",,,,,,,1.5
6,47.48,0,5c Kd,"received, received, folds",,,,,,,0.0
6,94.13,1,Kd Qd,"received, received, raises, folds",,,,,,,-17.75
7,40.0,0,10c 8h,"received, received, folds",,,,,,,0.0
5,52.53,2,Qd 7d,"received, received, calls",Jc Qh 9d,checks,Qs,bets,7s,"bets, mucks",13.08
8,42.5,2,4s 8s,"received, received, calls",Jc 9c 7d,"checks, folds",,,,,-2.5
6,93.13,2,6d 10s,"received, received, mucks",,,,,,,1.0
7,40.0,0,5h Ks,"received, received, folds",,,,,,,0.0
6,45.98,0,3s 3c,"received, received, raises, mucks",,,,,,,1.5
6,93.13,0,5h 6h,"received, received, folds",,,,,,,0.0
6,21.5,0,Qd 7d,"received, received, folds",Jh Qs 7c,,Kh,,9s,,0.0
6,52.53,0,7d Ks,"received, received, folds",9s 6d 8h,,,,,,0.0
6,93.13,0,6d 10s,"received, received, folds",,,,,,,0.0
